"Account number","Industry","GPCH","Booking date","Reportables (ppx)"
"3170005849","Prv: Laboratory","PCT","2/28/2017","47"
"3170005849","Prv: Laboratory","PCT","7/31/2020","94"
"3170005849","Prv: Laboratory","PCT","8/17/2020","46"
"3170005849","Prv: Laboratory","ProBNP","1/16/2015","276"
"3170005849","Prv: Laboratory","ProBNP","2/8/2015","360"
"3170005849","Prv: Laboratory","ProBNP","3/16/2015","383"
"3170005849","Prv: Laboratory","ProBNP","4/21/2015","363"
"3170005849","Prv: Laboratory","ProBNP","5/11/2015","362"
"3170005849","Prv: Laboratory","ProBNP","6/16/2015","298"
"3170005849","Prv: Laboratory","ProBNP","7/8/2015","342"
"3170005849","Prv: Laboratory","ProBNP","9/14/2015","-1748"
"3170005849","Prv: Laboratory","ProBNP","11/10/2015","349"
"3170005849","Prv: Laboratory","ProBNP","12/8/2015","280"
"3170005849","Prv: Laboratory","ProBNP","1/18/2016","287"
"3170005849","Prv: Laboratory","ProBNP","5/10/2016","283"
"3170005849","Prv: Laboratory","ProBNP","7/11/2016","249"
"3170005849","Prv: Laboratory","ProBNP","10/12/2016","242"
"3170005849","Prv: Laboratory","ProBNP","11/23/2016","217"
"3170005849","Prv: Laboratory","ProBNP","1/9/2017","269"
"3170005849","Prv: Laboratory","ProBNP","2/28/2017","284"
"3170005849","Prv: Laboratory","ProBNP","3/23/2017","258"
"3170005849","Prv: Laboratory","ProBNP","4/11/2017","245"
"3170005849","Prv: Laboratory","ProBNP","5/9/2017","225"
"3170005849","Prv: Laboratory","ProBNP","7/6/2017","224"
"3170005849","Prv: Laboratory","ProBNP","8/16/2017","183"
"3170005849","Prv: Laboratory","ProBNP","11/6/2017","218"
"3170005849","Prv: Laboratory","ProBNP","1/5/2018","185"
"3170005849","Prv: Laboratory","ProBNP","2/6/2018","298"
"3170005849","Prv: Laboratory","ProBNP","3/6/2018","223"
"3170005849","Prv: Laboratory","ProBNP","4/5/2018","227"
"3170005849","Prv: Laboratory","ProBNP","5/7/2018","221"
"3170005849","Prv: Laboratory","ProBNP","5/31/2018","-221"
"3170005849","Prv: Laboratory","ProBNP","7/6/2018","416"
"3170005849","Prv: Laboratory","ProBNP","7/17/2018","-416"
"3170005849","Prv: Laboratory","ProBNP","7/18/2018","-748"
"3170006454","Prv: Laboratory","HbA1c","3/9/2015","647"
"3170006454","Prv: Laboratory","HbA1c","4/15/2015","786"
"3170006454","Prv: Laboratory","HbA1c","5/5/2015","713"
"3170006454","Prv: Laboratory","HbA1c","6/5/2015","685"
"3170006454","Prv: Laboratory","HbA1c","7/6/2015","827"
"3170006454","Prv: Laboratory","HbA1c","8/5/2015","582"
"3170006454","Prv: Laboratory","HbA1c","9/7/2015","426"
"3170006454","Prv: Laboratory","HbA1c","11/5/2015","851"
"3170006454","Prv: Laboratory","HbA1c","1/5/2016","761"
"3170006454","Prv: Laboratory","HbA1c","2/5/2016","754"
"3170006454","Prv: Laboratory","HbA1c","3/8/2016","687"
"3170006454","Prv: Laboratory","HbA1c","4/6/2016","795"
"3170006454","Prv: Laboratory","HbA1c","5/24/2016","804"
"3170006454","Prv: Laboratory","HbA1c","6/6/2016","860"
"3170006454","Prv: Laboratory","HbA1c","7/8/2016","745"
"3170006454","Prv: Laboratory","ProBNP","1/27/2015","140"
"3170006454","Prv: Laboratory","ProBNP","2/8/2015","88"
"3170006454","Prv: Laboratory","ProBNP","4/15/2015","107"
"3170006454","Prv: Laboratory","ProBNP","5/5/2015","91"
"3170006454","Prv: Laboratory","ProBNP","6/5/2015","64"
"3170006454","Prv: Laboratory","ProBNP","7/6/2015","93"
"3170006454","Prv: Laboratory","ProBNP","8/5/2015","78"
"3170006454","Prv: Laboratory","ProBNP","10/5/2015","63"
"3170006454","Prv: Laboratory","ProBNP","11/5/2015","76"
"3170006454","Prv: Laboratory","ProBNP","1/5/2016","95"
"3170006454","Prv: Laboratory","ProBNP","3/8/2016","80"
"3170006454","Prv: Laboratory","ProBNP","5/24/2016","90"
"3170006454","Prv: Laboratory","ProBNP","6/22/2016","169"
"3170006454","Prv: Laboratory","ProBNP","7/8/2016","92"
"3170006454","Prv: Laboratory","ProBNP","8/29/2016","8"
"3170006454","Prv: Laboratory","PTH","1/27/2015","102"
"3170006454","Prv: Laboratory","PTH","2/8/2015","55"
"3170006454","Prv: Laboratory","PTH","4/15/2015","45"
"3170006454","Prv: Laboratory","PTH","5/5/2015","38"
